#    ncycle                  time                dt                  m1                  m2                  x                   y                   z                   vx                  vy                  vz                  agas1x              agas1y              agas1z              agas2x              agas2y              agas2z              xcom                ycom                zcom                vxcom               vycom               vzcom               xcom_star           ycom_star           zcom_star           vxcom_star          vycom_star          vzcom_star          lpz                 lgz                 ldoz                EK                  EPot                EI                  Edo                 EK_star             EPot_star           EI_star             EK_ej               EPot_ej             EI_ej               M_star              Lz_star             mr1                 mr12                mb                  mu                  Eorb                Lz_orb              Lz_ej               
                   0        0.000000e+00        2.045384e+02        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.588187e-20       -1.434662e-20        6.202827e+12        7.039965e-01       -2.879080e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                   9        1.045191e+05        1.047237e+05        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.588187e-20       -1.434662e-20        6.202827e+12        7.039965e-01       -2.879080e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                  10        2.092428e+05        2.094473e+05        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.588187e-20       -1.434662e-20        6.202827e+12        7.039965e-01       -2.879080e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
#    ncycle                  time                dt                  m1                  m2                  x                   y                   z                   vx                  vy                  vz                  agas1x              agas1y              agas1z              agas2x              agas2y              agas2z              xcom                ycom                zcom                vxcom               vycom               vzcom               xcom_star           ycom_star           zcom_star           vxcom_star          vycom_star          vzcom_star          lpz                 lgz                 ldoz                EK                  EPot                EI                  Edo                 EK_star             EPot_star           EI_star             EK_ej               EPot_ej             EI_ej               M_star              Lz_star             mr1                 mr12                mb                  mu                  Eorb                Lz_orb              Lz_ej               
                   0        0.000000e+00        2.045384e+02        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.058791e-22       -1.535247e-21        6.202827e+12       -2.056620e-01       -6.337616e-02                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                   9        1.045191e+05        1.047237e+05        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.058791e-22       -1.535247e-21        6.202827e+12       -2.056620e-01       -6.337616e-02                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                  10        2.092428e+05        2.094473e+05        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.058791e-22       -1.535247e-21        6.202827e+12       -2.056620e-01       -6.337616e-02                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                  11        4.186901e+05        4.188946e+05        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.058791e-22       -1.535247e-21        6.202827e+12       -2.056620e-01       -6.337616e-02                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                  12        8.375847e+05        8.377892e+05        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.058791e-22       -1.535247e-21        6.202827e+12       -2.056620e-01       -6.337616e-02                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
                  13        1.675374e+06        1.675578e+06        0.000000e+00        9.491050e+30        1.559266e+13        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan                 nan                 nan       -4.344982e-08       -1.058791e-22       -1.535247e-21        6.202827e+12       -2.056620e-01       -6.337616e-02                 nan                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan                 nan       -4.104421e+69                 nan                 nan        0.000000e+00        0.000000e+00        0.000000e+00                 nan                 nan                 nan        0.000000e+00        0.000000e+00        1.387745e+25        2.436490e+25        0.000000e+00                 nan                 nan                 nan                 nan
